,year,season,cl_id,month_max,month_range,PERIOD_YEAR,channel_type,MCC_popular,MCC_unpopular,amount_of_MCC,sum_MCC_5411,sum_MCC_6011,sum_MCC_5814,sum_MCC_5812,sum_MCC_5499,sum_MCC_5541,sum_MCC_5912,currency_popular,currency_unpopular,amount_of_currency,sum_currency_810,sum_currency_978,sum_currency_840,trx_category_popular,tranz_amount,tranz_sum,tranz_max,sum_trx_cat_0,sum_trx_cat_1,sum_trx_cat_2,sum_trx_cat_3,sum_trx_cat_4,sum_trx_cat_5,sum_trx_cat_6,sum_trx_cat_7,sum_trx_cat_8,sum_trx_cat_9,threeMonth_sum,sum_month2,sum_month1,sum_month0,mean_time,max_time,target_flag
0,2017,1,0,2017-12,2,2017,0,5411,5200,5,0.03154559433390802,0.31064100771942904,0.0,0.0,0.0,0.0,0.0,810,810,1,64383.0,0.0,0.0,6,5,1.0,0.5678828262118882,0.0,0.0,0.5678828262118882,0.0,0.0,0.31064100771942904,0.12147616606868272,0.0,0.0,0.0,64383.0,0.011913082646040104,0.0,0.9880869173539599,0.32193158953722334,994.0,0
1,2017,4,1,2017-10,3,2017,0,5814,5942,23,0.06847466423475124,0.6786871363699637,0.38587421783647835,0.014884357796743781,0.00230660014346978,0.0,0.011425346895717803,810,978,2,266693.13,884.9099999999999,0.0,6,104,1.252426025676466,0.22423364787334568,0.0,0.0,0.0,0.0,0.0,0.44465708934583825,0.5737388893065025,0.0,0.0,0.23403004702412541,213647.78,0.05408434386727538,0.9280942680518375,0.01782138808088715,0.0673076923076923,312.0,0
2,2017,3,5,2017-06,3,2017,0,5411,9222,34,0.09585705547627812,0.44380834759547716,0.0005270224127696292,0.007060393375929971,0.015355555457405629,0.0,0.003849183937799235,810,978,3,544874.6300000001,51.83,0.0,6,142,1.1657845228965313,0.10279506457475003,0.029850378763753488,0.0,0.07228609541832531,0.0,0.0,0.27738021724717327,0.6198397011189751,0.011735316883534252,0.012802163872946457,0.14189064959182324,468670.77000000014,0.3836440450510706,0.16561711326695278,0.45073884168197637,0.15625,96.0,1
3,2017,3,9,2017-07,2,2017,0,5999,5411,5,4.591935367591314e-05,0.6358064355126435,0.0,0.0,0.0,0.0,0.0,810,810,1,849315.09,0.0,0.0,6,39,1.0,0.13828789972399996,0.0,0.34963466856570274,0.0,0.0,0.0,0.00588709662511707,0.014558895921653766,0.0,0.11774193250234138,0.512177406385185,849315.09,0.296190427983565,0.21747651981551394,0.4863330522009211,0.12043010752688173,465.0,0
4,2017,4,10,2017-09,2,2017,0,5411,8099,36,0.047957173676002864,0.7595540222525671,0.001787709115606159,0.00028372099894446003,0.011762432242822767,0.014013442629777386,0.011538239289205431,810,810,1,1124343.99,0.0,0.0,6,463,1.0,0.13341112803031036,0.0,0.008894075202020691,0.019293828394991466,0.0,0.033526198685866586,0.37915442586214204,0.17873187546455413,0.0,0.004802800609091174,0.3755967957813338,1124343.99,0.09301714682532344,0.822974470651104,0.0840083825235727,0.09090909090909091,44.0,0
5,2017,4,11,2017-09,3,2017,0,5411,5699,39,0.08442899984322658,0.4943305715645627,0.015354124840958643,0.032090202400664805,0.0010418967431437708,0.015407632051177443,0.007846520026852469,810,978,2,427662.8500000001,84.28999999999999,0.0,6,217,1.1618048802269618,0.14026978649114985,0.0,0.0,0.0,0.0,0.0,0.4943305715645627,0.667474308662399,0.0,0.0,0.0,368174.68000000005,0.016706879462759356,0.4686464044730072,0.5146467160642333,0.08333333333333333,120.0,0
6,2017,3,14,2017-08,3,2017,0,5814,4722,30,0.06704098311463316,0.12154055744346733,0.0784891181618285,0.01858913552898869,0.00271659570285804,0.003218032624310615,0.00983493051312814,810,810,1,448690.1699999999,0.0,0.0,6,136,1.4738933346271381,0.23294693529835972,0.0,0.5016011654491205,0.0,0.0,0.0,0.0,0.8507516117345505,0.0,0.0,0.12154055744346733,304425.12999999995,0.10247866199482286,0.38869507914803225,0.508826258857145,0.030360531309297913,527.0,1
7,2017,2,20,2017-05,2,2017,0,5211,5251,17,0.0224885617826096,0.4916442318732315,0.0,0.006913501188601381,0.002853205848535754,0.044096462976479574,0.004207559937891842,810,810,1,437308.09,0.0,0.0,6,77,1.0,0.1829373886039931,0.0,0.0,0.0,0.0,0.0,0.4916442318732315,0.5083557681267684,0.0,0.0,0.0,437308.09,0.29814138585910904,0.3597037502782077,0.3421548638626831,0.10648148148148148,216.0,0
8,2017,1,21,2017-01,2,2016,0,5411,7298,35,0.07665814894373892,0.19180737581984741,0.0143206337669803,0.0222496555951023,0.003769605111400986,0.03894663520435527,0.005294031116763035,810,810,1,338881.65,0.0,0.0,6,124,1.0,0.08380506881974872,0.008194601271564865,0.01180648170238784,0.0,0.0,0.0,0.3304988629511217,0.6495000540749254,0.0,0.0,0.0,338881.65,0.36358138600895035,0.2657533389606666,0.370665275030383,0.05448717948717949,312.0,0
9,2017,1,21,2017-01,2,2017,0,5411,7298,35,0.07665814894373892,0.19180737581984741,0.0143206337669803,0.0222496555951023,0.003769605111400986,0.03894663520435527,0.005294031116763035,810,810,1,338881.65,0.0,0.0,6,124,1.0,0.08380506881974872,0.008194601271564865,0.01180648170238784,0.0,0.0,0.0,0.3304988629511217,0.6495000540749254,0.0,0.0,0.0,338881.65,0.36358138600895035,0.2657533389606666,0.370665275030383,0.05448717948717949,312.0,0
