Reservoir unit,Latitude,Longitude,Tectonic regime,Onshore/Offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability
ARAB D,26.08,49.81,COMPRESSION/EVAPORITE,ONSHORE,OIL,REJUVENATING,FORELAND,6050,JURASSIC,LIMESTONE,250.0,184.0,21.0,410.0
BAHARIYA,29.7422,28.4925,EXTENSION,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,RIFT,10282,CRETACEOUS,SANDSTONE,745.0,144.0,10.0,8.0
ABU MADI (LEVEL II),31.4382,31.3616,STRIKE-SLIP/TRANSTENSION/SHALE/EVAPORITE/BASEMENT-I,ONSHORE,GAS,DECLINING PRODUCTION,WRENCH/DELTA,9843,NEOGENE,THINLY-BEDDED SANDSTONE,115.0,66.0,22.0,200.0
ABU MADI (LEVEL III),31.4382,31.3616,STRIKE-SLIP/TRANSTENSION/SHALE/EVAPORITE/BASEMENT-I,ONSHORE,GAS,DECLINING PRODUCTION,WRENCH/DELTA,10499,NEOGENE,SANDSTONE,509.0,410.0,20.0,300.0
SHUAIBA,21.9607,56.0452,COMPRESSION/EVAPORITE,ONSHORE,OIL,REJUVENATING,SALT/FORELAND,4955,CRETACEOUS,LIMESTONE,250.0,100.0,21.0,60.0
UPPER GLEN ROSE D ZONE,31.2143,-95.7981,GRAVITY/EXTENSION/EVAPORITE,ONSHORE,OIL,MATURE PRODUCTION,PASSIVE MARGIN,8700,CRETACEOUS,LIMESTONE,95.0,15.0,12.0,20.0
ALBA,58.0692,1.0784,,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,5642,PALEOGENE,THINLY-BEDDED SANDSTONE,300.0,270.0,,3500.0
TRENTON-BLACK RIVER,41.9937,-84.6016,,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,3800,ORDOVICIAN,DOLOMITE,600.0,400.0,,10.0
KT I,48.474,57.6667,COMPRESSION/EVAPORITE,ONSHORE,OIL,DEVELOPING,SUB-SALT/FORELAND,6000,CARBONIFEROUS,LIMESTONE,300.0,105.0,10.0,20.0
KT II,48.474,57.6667,COMPRESSION/EVAPORITE,ONSHORE,OIL,DEVELOPING,SUB-SALT/FORELAND,9580,CARBONIFEROUS,LIMESTONE,607.0,108.0,10.0,20.0
ALPINE,70.3266,-150.892,COMPRESSION,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,6600,JURASSIC,SANDSTONE,50.0,49.0,20.0,15.0
GREEN RIVER AND COLTON/WASATCH,40.3,-110.21,COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,15250,PALEOGENE,SANDSTONE,8000.0,575.0,5.0,0.1
BRENT (BRENT EAST),60.7833,1.7333,INVERSION/COMPRESSION/EXTENSION,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,9790,JURASSIC,SANDSTONE,886.0,344.0,17.0,500.0
STATFJORD,60.7833,1.7333,EXTENSION/EROSION,OFFSHORE,GAS-CONDENSATE,MATURE PRODUCTION,RIFT,10545,TRIASSIC-JURASSIC,SANDSTONE,869.0,512.0,13.5,330.0
PARADOX (DESERT CREEK),37.0789,-109.2333,COMPRESSION/EXTENSION/EVAPORITE,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,5575,CARBONIFEROUS,DOLOMITE,80.0,46.0,14.0,15.0
LISTA (ANDREW SANDSTONE),58.0479,1.4208,INVERSION/COMPRESSION/EXTENSION/EVAPORITE/GRAVITY,OFFSHORE,OIL,DECLINING PRODUCTION,SALT/RIFT,7595,PALEOGENE,SANDSTONE,541.0,367.0,20.0,200.0
PARADOX (DESERT CREEK),37.3038,-109.2469,COMPRESSION/EXTENSION/EVAPORITE,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,5470,CARBONIFEROUS,DOLOMITE,100.0,50.0,10.0,15.0
ANGUS SAND,56.1648,3.0593,EXTENSION/EROSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,10130,JURASSIC,SANDSTONE,100.0,60.0,18.0,3000.0
