age,sex,is_closed,has_high_education,relation_status,number_of_relatives,len_of_about,number_of_activities,number_of_books,number_of_friends,number_of_followers,number_of_interests,number_of_groups,number_of_movies,len_of_status,age_hidden
34,1,0,1,1,2,14,1,1,911,720,1,10,1,16,0
0,1,0,0,0,0,0,0,0,687,87638,0,139,0,0,1
37,1,0,0,0,0,0,0,0,24,0,0,11,0,2,0
37,1,0,0,0,0,0,0,0,2535,3916,0,137,0,0,0
39,1,0,1,4,0,0,1,1,291,317,1,2,1,11,0
34,1,0,0,0,0,0,0,0,413,328,0,37,0,11,0
36,0,0,0,0,0,0,0,0,175,474,0,8,0,0,0
0,0,0,0,0,0,0,0,0,982,7458,0,432,0,3,1
35,0,0,0,0,0,0,0,0,279,2659,0,41,0,0,0
41,0,0,0,0,0,0,0,0,134,651,0,24,0,0,0
34,0,0,1,4,4,0,1,4,177,1522,4,26,11,4,0
0,1,0,0,0,0,0,0,0,278,7853,0,71,0,0,1
43,1,0,1,0,0,40,1,3,1540,464,1,8,1,9,0
37,0,0,0,0,0,0,0,0,3132,17682,0,462,0,15,0
34,0,0,1,0,2,0,1,1,553,1393,1,77,1,0,0
31,1,0,1,1,1,0,1,1,271,566,3,26,2,5,0
34,1,0,1,1,0,18,1,1,232,931,3,73,17,0,0
31,0,0,0,0,0,0,0,0,183,1185,0,19,0,0,0
0,1,0,0,0,0,0,0,0,61,1295,0,2464,0,0,1
37,0,0,0,0,0,0,0,0,100,5,0,62,0,13,0
34,1,0,1,4,1,0,1,1,422,333,4,28,1,0,0
33,1,0,0,0,0,0,0,0,449,483,0,23,0,18,0
40,0,0,1,0,1,4,1,1,675,182,11,42,5,12,0
33,0,0,1,1,2,52,2,4,264,401,1,30,4,3,0
32,0,0,0,0,0,0,0,0,665,2648,0,77,0,4,0
31,0,0,0,0,0,0,0,0,264,2834,0,160,0,2,0
35,1,0,1,0,1,0,1,1,1270,1395,1,121,1,6,0
31,0,0,0,0,0,0,0,0,435,1633,0,34,0,13,0
0,1,0,0,0,0,0,0,0,182,535,0,26,0,0,1
32,0,0,0,0,0,0,0,0,132,5114,0,12,0,0,0
34,1,0,0,0,0,0,0,0,1082,1490,0,106,0,7,0
32,1,0,0,0,0,0,0,0,256,729,0,231,0,0,0
32,1,0,0,0,0,0,0,0,156,1108,0,0,0,0,0
0,1,0,1,1,2,0,1,4,178,59,1,43,6,0,1
0,0,0,1,4,0,0,1,3,3706,1635,1,3,4,19,1
0,1,0,1,0,0,3,1,8,266,161,1,33,9,0,1
34,1,0,1,4,0,0,2,4,313,152,4,19,1,0,0
31,1,0,0,0,0,0,0,0,366,311,0,31,0,0,0
33,1,0,1,4,0,4,1,2,320,149,1,14,3,0,0
33,1,0,0,0,0,0,0,0,99,57,0,1,0,0,0
33,1,0,0,0,0,0,0,0,761,710,0,98,0,0,0
34,0,0,1,4,0,0,1,11,157,546,1,90,2,0,0
33,1,0,0,0,0,0,0,0,228,335,0,18,0,5,0
31,1,0,1,0,0,0,1,1,113,291,1,8,1,0,0
32,0,0,0,0,0,0,0,0,327,1631,0,45,0,0,0
31,1,0,0,0,0,0,0,0,882,1574,0,104,0,0,0
40,1,0,1,1,0,0,1,1,25,2,1,0,1,0,0
32,1,0,0,0,0,0,0,0,3261,1625,0,423,0,0,0
0,0,0,0,0,0,0,0,0,268,1082,0,55,0,0,1
0,1,0,0,0,0,0,0,0,992,799,0,211,0,4,1
38,1,0,1,4,2,0,1,1,374,483,1,36,1,0,0
34,0,0,0,0,0,0,0,0,247,2092,0,96,0,0,0
36,0,0,0,0,0,0,0,0,312,496,0,15,0,0,0
35,0,0,0,0,0,0,0,0,194,1096,0,23,0,0,0
35,0,0,0,0,0,0,0,0,208,1133,0,82,0,7,0
33,1,0,0,0,0,0,0,0,411,1199,0,48,0,0,0
34,0,0,0,0,0,0,0,0,225,1133,0,37,0,0,0
0,0,0,0,0,0,0,0,0,336,2168,0,111,0,0,1
35,1,0,0,0,0,0,0,0,176,167,0,6,0,0,0
35,0,0,0,0,0,0,0,0,211,428,0,41,0,26,0
32,1,0,1,7,0,2,7,1,365,521,8,13,13,0,0
31,0,0,0,0,0,0,0,0,714,1112,0,69,0,0,0
32,0,0,0,0,0,0,0,0,400,1222,0,71,0,0,0
32,0,0,1,4,3,117,6,6,1653,2169,5,87,9,3,0
35,1,0,1,4,0,4,1,2,665,274,5,5,3,4,0
33,0,0,0,0,0,0,0,0,146,12488,0,100,0,6,0
34,1,0,0,0,0,0,0,0,149,963,0,105,0,0,0
32,0,0,0,0,0,0,0,0,216,234,0,5,0,0,0
34,1,0,0,0,0,0,0,0,1525,947,0,28,0,2,0
33,1,0,1,4,0,0,1,2,2088,576,1,100,1,5,0
33,0,0,0,0,0,0,0,0,427,5210,0,85,0,4,0
31,1,0,0,0,0,0,0,0,598,301,0,37,0,0,0
32,1,0,1,4,0,11,1,1,264,733,6,122,9,0,0
32,0,0,0,0,0,0,0,0,415,1972,0,38,0,7,0
34,1,0,0,0,0,0,0,0,206,169,0,64,0,0,0
0,1,0,0,0,0,0,0,0,300,305,0,30,0,0,1
0,1,0,0,0,0,0,0,0,682,1816,0,75,0,0,1
0,1,0,0,0,0,0,0,0,74,139,0,18,0,3,1
30,1,0,0,0,0,0,0,0,461,846,0,85,0,0,0
0,1,0,0,0,0,0,0,0,245,731,0,98,0,0,1
34,0,0,0,0,0,0,0,0,330,1064,0,70,0,0,0
35,1,0,0,0,0,0,0,0,153,80,0,1,0,0,0
35,1,0,1,0,0,0,1,1,383,84,1,13,1,0,0
31,0,0,0,0,0,0,0,0,621,1052,0,99,0,4,0
31,1,0,1,4,1,0,1,5,208,96,4,10,3,0,0
32,0,0,0,0,0,0,0,0,238,548,0,66,0,0,0
31,0,0,0,0,0,0,0,0,466,1031,0,20,0,0,0
36,1,0,1,0,0,0,1,1,223,153,1,1,1,0,0
31,1,0,0,0,0,0,0,0,735,3273,0,325,0,3,0
0,0,0,0,0,0,0,0,0,198,249,0,7,0,0,1
32,0,0,0,0,0,0,0,0,1650,1603,0,159,0,8,0
33,0,0,1,1,0,0,1,1,539,1533,1,50,1,8,0
0,1,0,0,0,0,0,0,0,522,598,0,92,0,2,1
39,1,0,0,0,0,0,0,0,124,18,0,1,0,0,0
31,1,0,1,0,0,23,3,1,346,267,1,39,1,17,0
36,0,0,0,0,0,0,0,0,480,1243,0,67,0,2,0
34,1,0,0,0,0,0,0,0,130,193,0,16,0,0,0
38,1,0,1,4,1,91,1,1,302,895,3,294,1,3,0
34,1,0,0,0,0,0,0,0,117,56,0,2,0,0,0
33,1,0,0,0,0,0,0,0,155,657,0,36,0,0,0
33,0,0,1,1,0,0,1,3,473,1008,1,57,4,2,0
0,0,0,0,0,0,0,0,0,174,2012,0,70,0,10,1
31,1,0,0,0,0,0,0,0,474,542,0,32,0,0,0
31,0,0,0,0,0,0,0,0,392,973,0,64,0,1,0
30,1,0,0,0,0,0,0,0,1144,1176,0,5,0,6,0
35,0,0,0,0,0,0,0,0,391,1001,0,61,0,0,0
36,1,0,1,4,3,0,1,1,128,224,1,10,1,0,0
30,0,0,0,0,0,0,0,0,199,777,0,60,0,0,0
32,1,0,0,0,0,0,0,0,485,248,0,33,0,0,0
34,1,0,0,0,0,0,0,0,135,213,0,35,0,0,0
36,0,0,1,4,7,1,2,1,900,1104,1,160,1,20,0
32,1,0,1,0,0,3,1,1,496,302,2,11,1,14,0
35,1,0,0,0,0,0,0,0,212,248,0,21,0,1,0
33,0,0,1,4,4,0,1,1,1719,1996,3,80,1,0,0
36,1,0,0,0,0,0,0,0,181,76,0,9,0,0,0
0,0,0,0,0,0,0,0,0,556,576,0,67,0,0,1
32,0,0,1,4,0,0,1,1,115,1001,6,59,6,0,0
38,1,0,1,0,2,0,1,1,213,89,1,5,1,0,0
31,0,0,0,0,0,0,0,0,223,865,0,34,0,2,0
33,1,0,0,0,0,0,0,0,83,85,0,13,0,0,0
0,1,0,0,0,0,0,0,0,1687,728,0,67,0,14,1
32,1,0,0,0,0,0,0,0,531,1164,0,95,0,3,0
33,0,0,0,0,0,0,0,0,276,949,0,30,0,0,0
